config_id,buffer_pool_size,cache_size,log_file_size,thread_concurrency,query_cache_size,metric_pages_read,metric_pages_written,metric_cache_hits,metric_cache_misses,metric_lock_wait_time,performance_latency_99th_percentile
39,4096,993,256,8,436,41567,25132,15291,2979,1.290184826,298.3056392
40,4096,6231,256,32,1460,41149,24887,15851,948,0.565534874,188.23186
41,4096,1184,256,8,1411,40886,24833,15277,2304,0.45767053,297.7104731
42,8192,1890,64,16,1887,42051,24816,15306,1317,1.276180803,229.9242634
43,8192,1634,512,4,168,42209,24533,14960,2442,0.952434316,380.3551405
44,4096,6859,512,16,1834,41194,24610,15875,3011,1.039426026,240.7858607
45,4096,4823,64,16,1952,41296,24837,15197,1412,0.562625494,226.9129736
46,16384,5137,512,2,1032,44181,24635,15762,3388,0.941949617,479.8262991
47,4096,813,128,8,99,40748,24914,15332,3561,0.1,282.7042633
48,2048,6702,512,32,1969,40428,24685,15831,4168,0.63044924,197.4224379
49,8192,1998,128,4,1676,41971,24666,15328,4755,0.679927043,365.7094214
50,2048,6384,512,16,989,40334,24726,15694,4142,0.3610795,239.6335373
51,2048,2951,64,4,977,40208,25060,15225,2193,0.824746338,387.2701545
52,4096,2359,128,8,458,40799,24885,15288,4097,1.591084048,310.7692037
53,4096,5134,64,1,79,41083,24854,15782,2440,1.882396782,668.9610501
54,8192,4449,128,32,208,41970,24993,15543,675,1.934705589,211.7232463
55,4096,2698,256,8,859,41290,24996,15423,613,1.20073006,306.8669432
56,16384,6885,64,16,1128,43927,24754,15728,2552,1.725980269,235.3265636
57,1024,3060,256,1,1824,40019,25122,15329,1507,1.403642598,684.0068785
58,4096,3782,128,8,1159,41045,25073,15353,2859,0.628582129,292.3811465
59,2048,7655,256,16,63,40288,24929,16016,983,1.239289481,255.8861488
60,2048,5922,128,4,717,40395,24717,15839,4896,0.680246123,382.4118907
61,4096,6028,128,32,1426,40253,25144,15847,1216,0.518373905,197.8612607
62,4096,3067,256,1,239,41243,24773,15300,2408,1.399177495,665.8518583
63,16384,6494,512,32,1022,43957,25004,15849,3731,0.511929443,175.7813974
64,4096,1853,128,32,196,41242,24909,15200,2293,0.675156757,194.3730036
65,4096,2379,128,2,1129,41009,24789,15306,2900,0.483185931,495.7120793
66,4096,3182,64,16,17,40921,24868,15342,2536,0.836210648,239.4631263
67,4096,6281,256,32,1049,40922,24940,15486,1839,0.863535804,199.6729217
68,2048,7089,512,16,1689,40391,24715,15786,3328,1.104050057,245.6418214
69,4096,5073,128,32,1754,41076,24980,15495,3664,1.292528263,206.8023514
70,1024,3764,256,16,451,40396,24719,15547,946,0.358254221,256.0017296
71,2048,2265,128,8,9,41001,24938,15596,820,0.293476308,299.3986261
72,4096,1720,512,16,1066,40945,24777,15158,1456,0.44146445,231.4781754
73,8192,6919,512,8,881,41902,24760,15975,1721,0.39937797,282.9458532
74,8192,5256,256,8,283,41636,24758,15669,3244,1.03786231,293.9584231
75,8192,4689,128,8,1622,41805,24839,15648,4489,0.157361383,280.8778917
76,4096,4661,256,4,1939,41015,24803,15581,4333,1.815501938,396.1979511
77,2048,5967,128,32,1110,40786,25145,15741,2780,0.650500793,206.9265823
78,8192,7777,64,4,1143,42141,24967,15711,850,0.975688891,381.4291391
79,2048,2028,128,2,571,40256,24919,15389,3003,0.180160776,500.1442281
80,2048,7452,128,2,1306,40535,24769,15857,1585,0.465027672,497.6056453
81,4096,6316,256,64,894,40983,24803,15782,4540,1.09631651,174.622193
82,2048,7958,128,8,1533,40694,24889,16044,2889,0.843114747,301.8623318
83,4096,666,256,8,81,40896,25116,15101,1192,0.754186502,299.4102398
84,4096,7889,128,16,1998,41248,24923,16052,1007,0.981482099,240.0835231
85,2048,5445,128,8,1191,40560,24900,15879,1833,0.602238583,298.2190458
86,1024,4056,128,2,1022,40342,24786,15566,3046,0.669142699,514.7629583
87,2048,3519,128,4,1881,40284,25051,15436,4298,0.517320929,376.6433028
88,2048,3513,256,16,484,40464,24958,15532,4750,0.670453747,247.0213251
89,16384,1223,128,4,144,43948,25092,15061,1488,1.203561618,374.7422304
90,8192,2729,128,16,1479,41975,24806,15381,4225,1.07545152,244.943299
91,1024,7032,128,4,1291,40162,25039,15810,1031,1.409348456,406.2241083
92,4096,2266,128,8,1032,40901,24925,15214,2570,0.906236811,303.479795
93,4096,655,128,16,795,41186,24932,15014,479,1.641457438,249.5088251
94,4096,5231,128,16,1903,41022,24761,15684,360,2.062937246,253.9329427
95,2048,1725,256,8,1874,40759,25074,15204,2172,1.359142917,309.6220481
96,1024,4701,128,16,128,40369,24947,15651,3783,0.989195697,261.9628313
97,8192,6644,512,2,1327,41897,25017,15898,802,1.034263588,498.3114686
98,4096,3753,64,2,1387,40620,24909,15549,1079,1.287339118,507.7010122
99,4096,7953,128,8,1170,41126,24980,15948,4858,1.638246938,313.6635957
100,8192,2381,64,32,1889,42043,24956,15385,2052,0.536468561,180.7050216
101,4096,7133,256,4,937,41201,24865,15817,3315,2.071546558,397.9833451
102,1024,5675,128,32,150,39931,24653,15643,1451,1.002079509,220.1881561
103,8192,6751,512,16,1080,41916,24504,15851,3541,1.877285044,243.4029461
104,4096,4528,128,16,1968,40864,24967,15451,853,1.234799584,243.4812969
105,8192,841,256,2,501,42212,24983,15061,3545,0.308180246,474.4958231
106,4096,1476,512,4,2013,40783,24935,14888,1281,0.978602525,381.4081555
107,8192,4451,128,16,1706,41957,24708,15539,1551,0.389942239,215.4812463
108,8192,4164,256,2,1574,42281,24923,15483,1590,1.008791093,494.9313103
109,16384,5030,128,16,849,44096,24871,15706,3193,0.84968639,220.4703943
110,8192,5992,256,16,1757,41856,24763,15561,681,1.421225124,241.5666995
111,8192,7582,256,16,372,42025,25237,15918,1751,0.963390987,234.3074111
112,2048,4889,256,8,1675,40653,24751,15466,4144,0.464592121,301.4869404
113,2048,5870,128,2,324,40826,24917,15708,3010,1.048473563,502.2592188
114,4096,5730,512,2,1226,40741,24941,15553,4598,1.042742566,496.8057072
115,4096,2421,128,2,1927,41318,24726,15323,966,0.331279386,490.1648835
116,16384,8084,256,8,859,43962,24849,16009,3748,1.029564668,286.2435372
117,4096,2101,128,8,165,40891,24923,15339,1161,1.449779784,303.8647692
118,8192,6362,128,8,389,42224,25001,15969,4258,1.764499849,302.6230468
119,4096,5298,512,8,1815,41375,25131,15747,4449,1.195442609,300.670079
120,16384,1848,256,8,1510,44058,25125,15303,1545,1.20441263,289.6966643
121,8192,4107,64,8,87,42580,24863,15553,4360,0.901684375,288.9422287
122,2048,7238,256,16,1485,40457,24678,15971,1518,0.806487304,252.0513255
123,2048,2507,64,32,1156,40638,24937,15181,1868,1.493913728,213.4819579
124,4096,4179,128,4,2041,41091,24841,15447,1468,0.943996269,386.1948743
125,4096,7713,256,1,1124,41271,24925,16110,3843,1.372260515,669.0658834
126,4096,7259,256,16,1858,40962,24753,15931,4133,0.974155571,243.1151591
127,4096,5147,128,8,990,40928,25000,15648,2498,1.381948494,301.8841079
128,2048,4765,128,8,182,40454,24894,15512,1863,0.885451057,304.6269906
129,2048,7351,64,8,1374,40557,24790,15917,1706,0.109701047,299.0654104
130,8192,5111,256,4,1394,42173,24631,15633,3884,0.693904756,370.1419989
131,4096,5287,128,32,1947,41093,24988,15552,2128,0.776882494,196.5598736
132,8192,3481,256,2,805,41966,24917,15422,1728,0.589833278,486.2748304
133,2048,801,512,8,201,40588,24917,15199,3604,0.790317826,302.2448291
134,1024,4112,512,16,1977,40115,25011,15531,569,0.507808767,254.8811668
135,2048,2541,64,8,333,40450,24870,15184,904,0.943846687,308.1187636
136,2048,2211,256,1,731,40520,24845,15161,3281,1.316456739,669.7916062
137,8192,5424,256,16,1225,42168,24795,15674,831,0.862556618,231.8405853
138,8192,2965,64,8,836,41659,25146,15386,1788,0.882317522,286.3298529
139,4096,5992,256,32,1755,40952,24946,15890,1402,0.578443219,191.1072754
140,4096,6840,512,8,1084,40813,24558,15908,1273,1.318785152,302.5091629
141,1024,2564,128,2,833,39802,24814,15228,3653,0.961160564,518.447069
142,2048,3801,256,32,1699,40236,24758,15444,2109,0.788008282,201.8954103
143,4096,2549,128,16,476,40997,25127,15340,3847,0.314661985,230.4100191
144,4096,1361,128,16,111,41147,24731,15088,1264,1.283575728,248.6986589
145,1024,939,128,2,67,39970,24732,15117,4307,1.044021787,516.3618045
146,8192,2222,128,8,1426,41955,25431,15209,1930,0.1,274.0731915
147,16384,4856,64,4,320,43887,25226,15554,4713,0.1,350.7012185
148,4096,2321,64,2,371,40695,24779,15521,1476,0.225399374,487.7509135
149,2048,2169,128,32,1204,40615,24890,15166,4079,1.483893435,221.2577843
150,4096,4513,128,8,915,41030,24929,15530,2201,0.393910755,289.6614602
151,4096,6182,128,16,716,41240,24846,15517,4474,1.445947616,249.7098221
152,4096,7648,256,32,466,40914,24936,15914,3113,1.523240466,208.1077465
153,4096,3982,256,16,439,41305,24708,15492,3289,1.311739387,244.2974967
154,4096,5811,256,2,1537,41123,24883,15568,3862,0.775314429,493.698427
155,4096,7261,256,32,772,41098,24772,15963,2304,0.821820845,201.0711622
156,2048,6518,64,4,1167,40706,24965,15944,743,0.1,379.1407009
157,4096,1156,128,8,312,41096,24687,14963,1610,0.881641954,301.7506998
158,2048,4250,256,4,582,40279,24780,15576,1068,1.011282998,387.4567039
159,4096,8070,128,16,590,40942,25255,15970,2858,1.213985281,247.2487241
160,4096,5794,256,16,2028,40936,25013,15735,403,0.1,227.1461805
161,4096,8186,256,8,1532,41119,24712,15832,2880,1.361465712,303.4088011
162,4096,6702,64,8,30,41035,24861,15869,1515,1.119345831,304.7230781
163,1024,2356,256,16,734,39973,24765,15512,4189,0.826796755,250.0057954
164,16384,6843,128,4,1272,44060,25123,16072,2297,1.110490332,371.3577573
165,8192,541,256,32,406,42028,24826,14893,3968,1.281459976,200.4008981
166,8192,4258,256,4,293,42004,24680,15484,2831,0.619413325,372.0432962
167,4096,541,256,8,837,41195,24647,15124,3069,0.836648699,291.5796575
168,4096,2611,64,32,1903,41127,24863,15250,2104,1.691326589,212.9396149
169,4096,1521,64,8,1353,41096,25035,15131,1099,0.243482078,286.1942193
170,4096,6227,256,32,1139,41093,25247,15627,1856,1.153328906,198.5472401
171,16384,6866,128,8,1783,43998,24582,15722,1516,0.853209157,290.4903787
172,2048,7984,128,32,1890,40595,25108,15888,2860,0.223612046,197.1270071
173,2048,898,512,32,1839,40430,24625,15064,3978,1.053762222,209.8550425
174,4096,2385,128,4,131,40957,25198,15364,810,1.223620981,383.6319426
175,4096,4202,256,8,1710,40916,24577,15262,2498,1.699941051,306.643407
176,4096,5437,256,32,1866,41068,24781,15710,1094,0.675930353,207.9969108
177,4096,5265,128,32,1725,41151,24892,15771,3460,1.074986633,201.8456993
178,4096,6971,128,16,649,41005,24814,15781,2857,1.197803194,244.3837358
179,4096,3685,256,8,1858,41252,24931,15333,2278,0.861935381,299.1029027
180,16384,5496,64,1,1953,44211,25044,15672,2884,1.326565777,651.9175593
181,2048,7556,512,32,27,40689,24669,15903,1543,0.872892071,211.0313044
182,16384,7888,128,8,554,44181,24804,15942,1724,0.431602275,279.4553591
183,4096,3342,64,32,57,41143,24746,15472,4671,0.990190526,206.7853726
184,4096,7041,256,2,1864,41013,24884,15798,4740,0.1,484.3323227
185,16384,1151,128,8,1928,44409,24734,15101,4794,1.602347218,291.612089
186,4096,4745,64,32,493,40643,24844,15385,745,1.589984058,212.3793047
187,4096,7457,64,4,630,41026,24963,16152,4006,0.925479632,387.463971
188,4096,4556,128,8,552,40943,24756,15599,4550,1.092765341,299.8591691
189,4096,2819,128,32,587,41060,24796,15443,1626,0.671533013,195.9630536
190,2048,1848,64,16,632,40622,24976,15215,894,2.308571075,268.1265993
191,8192,3609,128,32,731,42307,25028,15397,3143,1.383163043,201.4841385
192,8192,8195,256,8,637,41512,24812,15928,878,0.461315202,285.3978847
193,8192,5795,256,4,340,42157,24869,15693,3420,0.309326982,365.5430406
194,8192,4668,256,16,1755,42043,25063,15380,1183,0.888682834,234.5112683
195,4096,2613,64,16,1815,41057,25190,15334,2438,1.492226694,248.0120728
196,8192,4609,256,32,1434,42001,24909,15539,4851,0.247000033,185.215029
197,8192,3143,512,16,1114,42014,24795,15179,3694,0.244099831,224.1513713
198,8192,3706,64,4,1258,41744,24859,15446,1954,1.5364094,378.7102854
199,2048,5767,128,2,730,40350,25167,15882,2195,0.790571959,501.51705
200,4096,4067,128,8,1978,41143,24984,15618,1528,0.859438408,290.2729521
201,4096,2610,64,16,1325,40817,24949,15355,659,0.294939611,233.1852277
202,4096,5726,256,32,1825,40894,24971,15796,4187,1.146083292,199.034545
203,4096,2648,512,32,1589,41046,24512,15270,661,0.1,188.70448
204,16384,2244,64,16,1709,43831,24990,15201,3161,1.025412524,225.8821257
205,8192,5722,256,64,1625,41780,25087,15749,3750,1.064739552,167.4868462
206,4096,5347,64,4,1190,41019,24917,15525,2622,0.651002307,379.5822131
207,4096,7580,128,4,574,41161,25094,15828,4445,1.049146909,383.0132482
208,2048,1120,128,1,2004,40439,24771,15179,2176,1.448574393,674.9320575
209,8192,758,256,4,1509,41889,24917,15283,1040,1.531882986,387.7606755
210,8192,4025,64,8,936,41914,25082,15434,898,0.827728124,286.2002613
211,2048,7234,256,2,501,40366,24922,15895,4533,1.182451802,512.3115562
212,4096,2135,64,4,10,41008,24817,15098,2039,0.655647053,380.7418175
213,8192,2115,128,8,1525,42273,24992,15372,3011,0.735273289,284.8645155
214,8192,7747,256,16,1751,42037,24678,15829,351,1.462839226,241.2348604
215,4096,718,512,8,133,41259,24673,15414,3465,0.854259316,295.2722427
216,16384,7838,64,8,570,44112,25067,16088,701,1.150124579,294.9380678
217,4096,926,128,16,1221,41084,24593,15092,1768,1.469766196,248.930763
218,4096,1989,128,4,1095,40677,25084,15265,3933,1.12651107,374.6718891
219,2048,736,128,8,989,40188,24914,14963,1254,1.391867788,312.0362942
220,4096,3251,256,16,1585,41050,24737,15448,1457,1.184668957,241.6703904
221,4096,2967,256,64,139,41175,24792,15323,1610,0.323963025,160
222,4096,6717,256,1,652,41127,24891,15885,3903,0.627814546,653.053882
223,1024,6838,256,8,1410,40388,24805,15738,4735,1.802797508,324.4602877
224,2048,1888,512,16,330,40410,24799,15217,1369,0.688748436,243.8458272
225,1024,4605,256,16,450,40339,24762,15616,1681,1.141922354,260.382801
226,2048,7034,256,2,1076,40677,24919,15928,1768,0.642454168,502.6771864
227,8192,4925,128,8,221,42228,24802,15738,784,0.509520311,277.8566015
228,8192,5083,128,16,478,41524,25191,15633,4394,1.191418435,236.6683053
229,2048,8118,256,16,1168,40469,24787,15959,4851,0.951481674,250.9173231
230,4096,929,512,8,722,41201,24547,15193,3383,0.816814136,300.1604813
231,2048,831,128,2,1886,40413,25154,15081,4125,0.806515679,497.6050388
232,4096,3373,128,2,1083,40916,25349,15555,1317,1.452529617,508.0109076
233,8192,971,128,64,474,42258,24852,15116,4936,1.221134967,162.4157456
234,1024,3565,128,8,1301,40115,24868,15502,1503,0.814538261,318.9711526
235,1024,2827,64,1,1325,40294,24913,15286,887,2.150902162,696.0785131
236,8192,700,256,1,349,42130,24706,14982,2734,0.660832421,649.1838696
237,2048,4299,128,4,1568,40801,24691,15601,608,1.750028125,395.6684913
238,4096,3465,128,4,1751,40728,25022,15480,3924,0.419773282,365.977587
239,16384,7642,128,32,1692,44358,24930,15755,564,0.968426684,183.3205241
240,4096,3765,64,32,1035,40882,25113,15470,3541,0.1,180.4549201
241,4096,7185,256,4,525,41033,25207,15913,3739,1.302650428,393.241409
242,2048,5805,64,64,1034,40337,24941,15684,2534,1.343832348,189.3928883
243,8192,6257,128,16,108,42150,24877,15599,3042,0.306534287,220.328623
244,1024,2027,128,64,1551,40398,25043,15337,2216,0.506811879,176.1374534
245,1024,6050,64,8,986,40482,25461,15878,745,1.181146972,316.6162063
246,4096,6104,256,16,547,41207,25046,15639,3604,0.767339232,240.0304237
247,16384,1636,256,8,1183,44003,24718,15355,4511,1.326047846,295.371846
248,4096,4087,256,64,1707,41008,24889,15759,3733,1.034314787,171.0460506
249,4096,7775,512,8,1488,41042,24543,16053,3823,1.237663081,299.3436414
250,2048,2435,64,1,294,40683,24979,15317,3134,0.667124229,656.6947965
251,2048,7887,512,32,1718,40121,24524,15950,3719,1.529957318,219.8526603
252,4096,7569,256,8,704,40829,24977,15942,4692,1.235678045,297.7086614
253,4096,5934,256,1,654,41288,24664,15842,2396,0.412467399,649.1006487
254,2048,1574,256,2,112,40360,24579,15037,3558,1.240792401,514.3068853
255,4096,4362,256,8,1068,41100,24745,15300,4700,0.1,292.6325179
256,4096,3087,512,2,1688,40723,24635,15276,2901,1.3150829,497.9945135
257,4096,6743,128,8,1410,41160,25503,15900,2885,1.40858165,304.9824631
258,4096,2951,128,64,552,40676,25005,15282,675,0.908000941,171.7973087
259,4096,4947,128,8,1085,40962,24807,15713,1712,1.193096978,303.5530545
260,8192,5816,256,16,1218,41869,24820,15496,4572,0.603367972,232.9374664
261,1024,5048,256,2,496,40393,24831,15793,1802,1.339530303,520.7141701
262,4096,5448,512,32,1481,40869,24981,15668,1508,0.173292571,191.9702064
263,4096,5536,512,64,38,40828,24691,15514,2514,2.240644647,182.4569941
264,16384,5703,64,8,1353,44042,24810,15696,4018,0.518216683,282.5827153
265,2048,3095,256,16,919,40337,24850,15310,3019,1.886203995,264.3546821
266,4096,7535,128,64,546,40538,25052,15786,1012,0.576758712,167.656955
267,2048,5409,64,32,1540,40358,24785,15655,2724,0.722231357,206.0672693
268,1024,7848,256,8,1299,40226,24667,16128,2176,1.093838969,321.6797353
269,2048,6049,256,4,833,40857,24763,15566,1511,1.142353925,395.1682373
270,8192,3096,512,4,654,41895,24840,15379,4149,1.504356338,381.4788287
271,4096,1699,128,8,1508,41260,24850,15274,3585,1.919043405,310.2013418
272,2048,1684,256,8,119,40733,24848,15011,4436,0.844222694,304.6606116
273,4096,1767,256,8,1689,40979,24662,15215,3412,1.362108697,310.6990174
274,2048,3510,256,64,1507,40739,25077,15600,2174,0.81171165,170.1314917
275,8192,7535,256,8,1592,41807,25088,15775,3921,1.706650487,309.1338322
276,8192,7476,256,8,872,41575,25060,16106,3853,0.823953849,289.6069826
277,8192,8081,256,8,1372,41850,24732,16141,3985,0.1,280.9853229
278,4096,6916,64,16,1677,40611,24756,15837,879,1.11312309,247.3915274
279,1024,7595,128,16,130,40131,24956,15806,4231,1.667055293,263.1331419
280,4096,5688,64,8,1858,40937,25295,15776,3483,1.329208184,307.3083442
281,8192,1222,128,32,807,42340,24687,15133,3194,1.137598762,193.8619116
282,4096,1359,128,8,112,40982,24783,15220,1156,0.96036502,301.8337795
283,8192,5883,256,4,1521,41925,24698,15730,950,1.328236486,381.5409667
284,2048,1132,64,8,1224,40202,25242,15221,2485,0.1,296.1137935
285,2048,5341,256,16,1420,40485,25091,15692,649,1.209972283,247.4704596
286,8192,1541,128,16,448,42065,24979,15247,1316,0.890205852,232.7866651
287,4096,793,128,8,200,40940,24880,15084,1895,1.260661277,301.7677611
288,4096,1282,256,32,955,41129,24815,15360,3019,0.794328453,188.1396467
289,1024,1852,512,2,34,40601,24540,15280,877,1.215093173,508.4082007
290,4096,7512,128,4,170,41142,25025,16102,607,0.422571784,374.3213283
291,2048,4252,128,8,670,40813,24985,15599,4564,1.009181074,308.7834553
292,16384,3159,64,4,186,43926,24731,15465,1430,0.552127421,360.5455908
293,4096,6063,128,2,535,41003,24742,15592,2743,0.90633678,490.711292
294,1024,5260,128,8,1857,40637,25027,15559,3405,1.309775835,322.4930772
295,2048,598,128,2,707,40287,25013,14937,3269,1.288716364,510.2286993
296,8192,3513,64,1,258,41829,24781,15312,3955,0.834558987,642.0438814
297,4096,6451,128,16,630,40996,24860,15673,1343,1.113950292,245.2933262
298,2048,3545,64,4,1119,40509,25119,15508,3947,0.5735989,387.5501595
299,8192,3447,128,8,549,42138,24976,15241,1652,0.844147737,295.8865606
300,16384,1507,64,8,330,44054,25016,15123,1993,0.687358661,288.834333
301,2048,2448,256,64,813,40539,24779,15257,2463,1.188367401,194.2056282
302,8192,1611,256,32,1142,42020,24873,15246,3836,0.749398002,187.762769
303,1024,1902,128,8,35,40316,24839,15084,2414,1.482097699,326.1931921
304,4096,1874,512,8,959,41255,24538,15201,3726,0.488886109,294.0763592
305,4096,1965,256,16,1371,41125,24968,15290,1710,0.588275294,235.709758
306,2048,4972,512,8,1399,40719,25187,15767,3880,0.916138748,299.7352241
307,4096,5225,256,32,250,41092,24990,15780,1764,1.546148812,214.5301431
308,4096,1216,256,32,2023,40827,24852,15212,2385,1.39154141,207.4016495
309,2048,2408,256,16,252,40375,24948,15203,4069,1.248794986,251.5033087
310,1024,3915,512,2,1167,39981,24793,15586,811,1.111897698,517.0332951
311,4096,4783,64,8,366,41109,24987,15422,1279,0.892563822,294.0124577
312,8192,7339,64,8,1448,41973,24975,15929,613,0.885988325,284.3555672
313,4096,6403,128,8,991,41112,24780,15626,1430,1.326817108,306.3692068
314,16384,2550,128,2,619,44236,24832,15390,1376,1.031281672,484.0660642
315,2048,7090,256,32,678,40589,24750,15882,1157,1.903213484,219.9318023
316,2048,4960,128,4,1617,40571,25058,15683,2828,1.185950182,393.627869
317,4096,6000,512,4,1464,40821,24621,15743,2407,1.170073808,383.6967008
318,16384,7206,64,32,1916,43927,24881,15849,1415,0.940159781,190.1514817
319,4096,2888,128,4,554,41004,24724,15234,2800,1.810568266,396.1626735
320,8192,7301,256,16,18,42021,24823,15781,3763,0.288577864,218.491637
321,1024,8193,256,2,2021,40647,25188,16118,4692,1.936312624,525.069486
322,8192,3581,128,2,1883,41875,25060,15631,733,1.114827506,487.0510471
323,4096,1750,128,32,159,40909,24891,15233,4616,0.112789978,183.2227919
324,16384,7264,128,2,84,44179,24644,15874,715,0.71119693,479.2096385
325,4096,2794,128,4,855,40840,24890,15055,1203,0.555859022,372.7534754
326,4096,3612,128,8,694,40889,24847,15388,4538,1.051976226,309.1731227
327,2048,4718,64,8,574,40238,25087,15361,2126,0.726846123,298.3288607
328,2048,761,256,4,487,40125,24901,14948,2204,0.194069518,373.4345131
329,4096,4564,512,64,1298,40996,24684,15529,4101,1.106844731,169.7981149
330,8192,4395,256,4,252,41699,24893,15573,3421,1.275925532,377.4868263
331,1024,5041,512,32,972,40270,24526,15469,3664,0.696700672,214.7709764
332,4096,6815,128,2,697,41512,24720,15906,3075,0.259894666,478.8790906
333,1024,6704,512,8,1205,40178,24651,15889,1455,0.721631337,314.7828407
334,1024,2759,128,8,1441,39841,24805,15428,940,1.04551353,314.7928141
335,8192,2379,128,16,1433,42048,24942,15285,357,0.571919987,226.5446165
336,2048,5987,128,8,1369,40522,24890,15759,1186,0.747357852,298.5669833
337,16384,1648,256,8,1357,43894,24924,15121,1954,0.5876486,278.8098408
338,4096,3814,512,16,1040,41132,24633,15615,2580,1.006264186,242.9442935
339,16384,1943,128,8,544,44078,24848,15146,3812,0.1,269.2648414
340,16384,8178,64,8,1255,43985,24950,16080,989,0.828609425,289.3975733
341,4096,5373,256,2,1689,40959,24627,15816,4197,0.285368376,479.594348
342,2048,6215,128,4,1499,40851,24792,15642,682,1.135281435,389.6536523
343,2048,3086,256,8,1019,40568,24978,15143,4505,0.558164717,305.2802293
344,2048,800,64,16,1689,40638,24890,15077,4626,1.402762404,258.8831313
345,4096,2548,256,16,999,41202,24905,15276,3596,1.065806554,241.1623054
346,4096,7295,128,16,1616,40922,24943,16066,2443,0.266204129,229.1251484
347,4096,3284,256,32,1001,40963,24936,15230,4675,0.586097954,191.7842779
348,8192,5374,128,8,690,42125,24854,15776,3023,0.339229765,270.6461763
349,16384,8081,64,4,1091,44331,25041,16328,3628,1.623191968,375.7158995
350,16384,1103,256,64,557,43970,24966,15139,2670,1.815492469,174.3911371
351,4096,2928,64,8,1326,40884,25093,15282,2258,1.497966857,304.5856334
352,2048,1616,128,16,1038,40515,24781,15407,1684,0.843368698,249.677281
353,4096,803,256,8,1368,41165,24670,15072,802,1.647953536,309.1765022
354,4096,2427,256,4,1772,41391,24923,15302,1518,0.835788257,374.6572131
355,8192,2362,512,8,523,42221,24754,15337,4119,0.586196849,283.3188576
356,16384,2291,256,1,208,43955,25054,15520,691,1.315686223,659.7160895
357,1024,4647,256,16,1459,40348,24760,15613,1740,0.405943408,248.7967116
358,4096,7410,128,32,1153,41178,24892,15960,1776,1.465298925,213.7405006
359,1024,2614,128,4,1640,40350,24980,15354,3190,0.500949475,385.5179227
360,16384,6418,256,2,452,44319,24698,15795,1352,1.30722629,487.308126
361,8192,791,512,8,937,42601,24681,15217,4850,1.977602838,309.2840328
362,1024,3150,512,4,44,40327,24754,15271,2702,0.333250867,383.5834367
